,timeDerrotado
90507,"[40, 74, 85, 44, 86]"
90508,"[5, 73, 19, 53, 72]"
90509,"[74, 62, 3, 69, 32]"
90510,"[12, 101, 69, 11, 71]"
90511,"[101, 29, 33, 21, 93]"
90512,"[39, 11, 73, 37, 72]"
90513,"[35, 47, 31, 7, 82]"
90514,"[14, 93, 37, 26, 8]"
90515,"[2, 86, 110, 107, 8]"
90516,"[72, 18, 88, 98, 104]"
90517,"[1, 84, 3, 28, 21]"
90518,"[85, 42, 53, 100, 21]"
90519,"[59, 72, 36, 102, 107]"
90520,"[64, 74, 21, 12, 7]"
90521,"[22, 11, 16, 104, 101]"
90522,"[26, 14, 44, 21, 86]"
90523,"[31, 93, 39, 69, 84]"
90524,"[21, 32, 42, 75, 30]"
90525,"[50, 19, 60, 58, 11]"
90526,"[1, 26, 29, 53, 34]"
90527,"[100, 18, 62, 56, 37]"
90528,"[67, 38, 112, 3, 11]"
90529,"[2, 62, 78, 21, 73]"
90530,"[112, 31, 107, 97, 82]"
90531,"[39, 25, 107, 19, 73]"
90532,"[72, 106, 91, 21, 93]"
90533,"[5, 11, 73, 68, 29]"
90534,"[28, 67, 4, 75, 22]"
90535,"[72, 93, 11, 86, 100]"
90536,"[106, 74, 8, 50, 86]"
90537,"[106, 16, 11, 79, 63]"
90538,"[28, 67, 62, 87, 17]"
90539,"[8, 106, 7, 60, 27]"
90540,"[39, 62, 82, 98, 11]"
90541,"[1, 7, 52, 97, 69]"
90542,"[36, 73, 42, 104, 106]"
90543,"[101, 60, 84, 106, 8]"
90544,"[82, 62, 74, 73, 30]"
90545,"[104, 19, 7, 13, 26]"
90546,"[35, 112, 106, 86, 49]"
90547,"[25, 19, 97, 26, 11]"
90548,"[11, 60, 28, 9, 22]"
90549,"[74, 93, 62, 28, 68]"
90550,"[50, 39, 61, 11, 86]"
90551,"[70, 75, 21, 14, 73]"
90552,"[81, 47, 51, 102, 3]"
90553,"[96, 1, 86, 102, 46]"
90554,"[60, 7, 2, 50, 8]"
90555,"[13, 106, 7, 74, 30]"
90556,"[106, 81, 28, 36, 86]"
90557,"[91, 93, 73, 53, 3]"
90558,"[50, 35, 44, 112, 59]"
90559,"[69, 26, 39, 1, 34]"
90560,"[21, 39, 4, 62, 29]"
90561,"[93, 11, 37, 86, 79]"
90562,"[98, 21, 19, 90, 86]"
90563,"[44, 53, 39, 26, 42]"
90564,"[63, 86, 5, 44, 27]"
90565,"[100, 57, 50, 73, 8]"
90566,"[46, 104, 75, 47, 69]"
90567,"[39, 80, 8, 63, 86]"
90568,"[43, 6, 14, 102, 72]"
90569,"[21, 83, 15, 106, 96]"
90570,"[39, 110, 106, 56, 40]"
90571,"[11, 85, 60, 12, 90]"
90572,"[86, 69, 34, 88, 11]"
90573,"[26, 14, 21, 67, 87]"
90574,"[31, 97, 81, 11, 43]"
90575,"[28, 71, 7, 72, 11]"
90576,"[112, 50, 106, 11, 32]"
90577,"[46, 27, 93, 50, 59]"
90578,"[8, 11, 112, 28, 25]"
90579,"[73, 23, 4, 97, 16]"
90580,"[7, 32, 25, 11, 106]"
90581,"[42, 67, 74, 57, 73]"
90582,"[44, 21, 23, 86, 78]"
90583,"[27, 43, 75, 109, 104]"
90584,"[14, 91, 63, 42, 77]"
90585,"[8, 57, 21, 36, 59]"
90586,"[100, 11, 53, 87, 1]"
90587,"[68, 106, 72, 21, 14]"
90588,"[28, 25, 74, 76, 12]"
90589,"[104, 75, 84, 52, 5]"
90590,"[59, 6, 2, 16, 19]"
90591,"[7, 47, 36, 44, 85]"
90592,"[100, 9, 106, 35, 62]"
90593,"[100, 39, 71, 67, 16]"
90594,"[59, 27, 50, 18, 21]"
90595,"[21, 106, 58, 30, 18]"
90596,"[104, 25, 100, 98, 31]"
90597,"[25, 107, 99, 62, 75]"
90598,"[63, 59, 50, 26, 69]"
90599,"[21, 85, 84, 72, 50]"
90600,"[7, 97, 106, 21, 79]"
90601,"[41, 44, 11, 19, 68]"
90602,"[102, 104, 14, 90, 18]"
90603,"[104, 69, 19, 57, 34]"
90604,"[48, 75, 105, 33, 9]"
90605,"[102, 9, 85, 74, 104]"
90606,"[5, 46, 32, 85, 112]"
90607,"[2, 81, 43, 100, 8]"
90608,"[11, 27, 38, 22, 8]"
90609,"[73, 11, 21, 91, 68]"
90610,"[90, 88, 5, 12, 21]"
90611,"[1, 74, 87, 112, 21]"
90612,"[101, 7, 11, 66, 21]"
90613,"[5, 14, 44, 69, 94]"
90614,"[4, 34, 73, 84, 44]"
90615,"[64, 84, 8, 75, 2]"
90616,"[86, 102, 50, 43, 19]"
90617,"[8, 11, 19, 101, 104]"
90618,"[33, 94, 82, 71, 7]"
90619,"[22, 5, 49, 86, 44]"
90620,"[49, 26, 69, 32, 56]"
90621,"[30, 21, 46, 40, 8]"
90622,"[73, 87, 53, 17, 27]"
90623,"[74, 32, 28, 5, 67]"
90624,"[7, 11, 67, 6, 104]"
90625,"[21, 57, 30, 67, 13]"
90626,"[93, 11, 98, 53, 26]"
90627,"[72, 30, 54, 98, 11]"
90628,"[93, 46, 106, 71, 9]"
90629,"[26, 49, 21, 70, 48]"
90630,"[21, 28, 6, 50, 18]"
90631,"[71, 50, 93, 7, 11]"
90632,"[73, 18, 16, 107, 2]"
90633,"[19, 39, 26, 14, 103]"
90634,"[85, 38, 112, 106, 39]"
90635,"[64, 78, 97, 112, 1]"
90636,"[44, 92, 21, 87, 4]"
90637,"[64, 25, 44, 8, 13]"
90638,"[13, 57, 100, 39, 15]"
90639,"[92, 72, 75, 94, 6]"
90640,"[32, 51, 5, 93, 46]"
90641,"[59, 7, 73, 60, 22]"
90642,"[82, 44, 42, 14, 56]"
90643,"[69, 5, 34, 9, 77]"
90644,"[73, 69, 68, 27, 28]"
90645,"[61, 16, 100, 19, 33]"
90646,"[68, 57, 35, 11, 97]"
90647,"[36, 29, 11, 106, 100]"
90648,"[41, 46, 111, 93, 57]"
90649,"[86, 50, 99, 104, 46]"
90650,"[104, 70, 27, 11, 102]"
90651,"[57, 32, 104, 100, 70]"
90652,"[75, 14, 28, 8, 36]"
90653,"[100, 68, 21, 46, 44]"
90654,"[69, 5, 73, 75, 106]"
90655,"[11, 55, 75, 79, 100]"
90656,"[5, 26, 93, 69, 13]"
90657,"[21, 74, 8, 7, 69]"
90658,"[51, 8, 5, 50, 59]"
90659,"[2, 7, 55, 39, 93]"
90660,"[8, 46, 100, 81, 37]"
90661,"[106, 51, 100, 32, 8]"
90662,"[71, 5, 73, 86, 1]"
90663,"[50, 70, 98, 78, 7]"
90664,"[86, 85, 15, 75, 70]"
90665,"[31, 61, 11, 8, 112]"
90666,"[106, 36, 97, 20, 7]"
90667,"[44, 86, 25, 53, 39]"
90668,"[21, 93, 112, 71, 8]"
90669,"[72, 33, 40, 11, 19]"
90670,"[42, 1, 8, 86, 93]"
90671,"[74, 49, 21, 20, 100]"
90672,"[101, 70, 39, 106, 30]"
90673,"[73, 51, 8, 2, 25]"
90674,"[7, 25, 69, 28, 72]"
90675,"[63, 102, 72, 106, 100]"
90676,"[100, 43, 2, 21, 50]"
90677,"[88, 23, 100, 27, 93]"
90678,"[50, 63, 25, 93, 46]"
90679,"[74, 56, 69, 101, 67]"
90680,"[90, 11, 102, 94, 51]"
90681,"[25, 7, 106, 71, 11]"
90682,"[67, 23, 11, 75, 18]"
90683,"[59, 68, 51, 93, 112]"
90684,"[50, 59, 110, 7, 21]"
90685,"[88, 30, 8, 34, 97]"
90686,"[34, 50, 52, 72, 4]"
90687,"[21, 22, 8, 106, 100]"
90688,"[50, 21, 71, 19, 8]"
90689,"[44, 42, 28, 7, 21]"
90690,"[63, 50, 5, 11, 67]"
90691,"[30, 44, 74, 45, 104]"
90692,"[38, 112, 86, 93, 36]"
90693,"[20, 95, 47, 90, 53]"
90694,"[104, 46, 51, 75, 102]"
90695,"[7, 57, 67, 62, 21]"
90696,"[19, 71, 8, 102, 51]"
90697,"[14, 86, 56, 95, 35]"
90698,"[87, 62, 97, 21, 106]"
90699,"[36, 26, 72, 21, 3]"
90700,"[8, 23, 75, 50, 59]"
90701,"[25, 16, 9, 36, 32]"
90702,"[106, 39, 97, 9, 102]"
90703,"[85, 57, 8, 39, 21]"
90704,"[2, 74, 100, 107, 59]"
90705,"[79, 89, 46, 36, 99]"
90706,"[39, 9, 106, 42, 90]"
90707,"[8, 50, 86, 34, 104]"
90708,"[99, 59, 9, 112, 48]"
90709,"[12, 13, 21, 73, 26]"
90710,"[11, 3, 68, 39, 8]"
90711,"[82, 21, 27, 54, 17]"
90712,"[3, 8, 106, 100, 50]"
90713,"[11, 104, 99, 75, 21]"
90714,"[54, 64, 11, 21, 94]"
90715,"[81, 103, 1, 74, 107]"
90716,"[44, 73, 71, 112, 62]"
90717,"[14, 49, 31, 86, 104]"
90718,"[19, 30, 67, 34, 6]"
90719,"[104, 109, 30, 57, 21]"
90720,"[75, 30, 1, 73, 36]"
90721,"[71, 68, 106, 11, 61]"
90722,"[84, 21, 75, 32, 106]"
90723,"[72, 6, 85, 31, 86]"
90724,"[75, 39, 81, 85, 106]"
90725,"[30, 8, 2, 21, 28]"
90726,"[61, 5, 11, 6, 35]"
90727,"[9, 23, 69, 74, 12]"
90728,"[36, 48, 28, 73, 33]"
90729,"[73, 68, 21, 22, 104]"
90730,"[59, 75, 19, 27, 73]"
90731,"[42, 9, 88, 39, 28]"
90732,"[21, 28, 36, 26, 104]"
90733,"[46, 30, 21, 1, 20]"
90734,"[17, 15, 32, 40, 62]"
90735,"[50, 106, 60, 22, 21]"
90736,"[51, 19, 104, 52, 70]"
90737,"[81, 37, 14, 46, 35]"
90738,"[86, 42, 112, 44, 73]"
90739,"[100, 11, 25, 36, 60]"
90740,"[57, 51, 66, 46, 35]"
90741,"[100, 104, 27, 1, 74]"
90742,"[36, 61, 39, 42, 72]"
90743,"[62, 73, 101, 8, 55]"
90744,"[72, 57, 21, 104, 32]"
90745,"[111, 14, 75, 51, 19]"
90746,"[112, 51, 74, 106, 28]"
90747,"[26, 27, 77, 106, 9]"
90748,"[39, 67, 11, 100, 33]"
90749,"[96, 33, 11, 94, 68]"
90750,"[14, 12, 23, 107, 110]"
90751,"[55, 41, 51, 93, 21]"
90752,"[48, 50, 73, 28, 36]"
90753,"[31, 62, 21, 74, 1]"
90754,"[100, 28, 39, 11, 68]"
90755,"[14, 72, 67, 11, 9]"
90756,"[51, 69, 67, 62, 46]"
90757,"[98, 104, 17, 93, 50]"
90758,"[5, 1, 67, 87, 39]"
90759,"[18, 41, 7, 59, 30]"
90760,"[91, 110, 100, 41, 14]"
90761,"[98, 37, 68, 12, 25]"
90762,"[4, 86, 33, 67, 23]"
90763,"[91, 100, 15, 85, 19]"
90764,"[72, 51, 104, 3, 11]"
90765,"[69, 68, 6, 14, 93]"
90766,"[50, 28, 106, 73, 112]"
90767,"[67, 82, 62, 64, 51]"
90768,"[16, 11, 25, 39, 67]"
90769,"[5, 29, 34, 93, 86]"
90770,"[74, 70, 28, 36, 87]"
90771,"[106, 60, 72, 71, 26]"
90772,"[25, 93, 102, 78, 21]"
90773,"[16, 104, 11, 55, 42]"
90774,"[90, 106, 22, 7, 20]"
90775,"[100, 13, 106, 85, 41]"
90776,"[21, 44, 68, 51, 74]"
90777,"[67, 106, 9, 32, 53]"
90778,"[85, 8, 45, 74, 36]"
90779,"[74, 1, 75, 6, 69]"
90780,"[8, 26, 60, 74, 88]"
90781,"[21, 111, 110, 11, 50]"
90782,"[35, 63, 64, 37, 73]"
90783,"[21, 74, 1, 104, 27]"
90784,"[4, 15, 75, 98, 57]"
90785,"[23, 58, 13, 28, 106]"
90786,"[94, 100, 104, 14, 62]"
90787,"[101, 5, 23, 104, 42]"
90788,"[17, 19, 99, 86, 64]"
90789,"[100, 72, 53, 46, 32]"
90790,"[32, 4, 74, 25, 50]"
90791,"[97, 50, 100, 73, 9]"
90792,"[73, 9, 81, 25, 12]"
90793,"[28, 25, 47, 36, 21]"
90794,"[101, 4, 13, 44, 31]"
90795,"[103, 107, 31, 80, 39]"
90796,"[81, 37, 61, 21, 60]"
90797,"[53, 14, 7, 68, 95]"
90798,"[15, 14, 69, 8, 26]"
90799,"[39, 42, 56, 90, 70]"
90800,"[112, 74, 110, 8, 42]"
90801,"[93, 50, 62, 21, 19]"
90802,"[73, 30, 51, 40, 8]"
90803,"[71, 67, 102, 13, 11]"
90804,"[8, 42, 14, 74, 3]"
90805,"[4, 46, 5, 47, 14]"
90806,"[14, 93, 2, 29, 17]"
90807,"[26, 44, 74, 63, 104]"
90808,"[57, 98, 28, 35, 46]"
90809,"[7, 9, 102, 47, 49]"
90810,"[74, 21, 70, 85, 112]"
90811,"[21, 106, 28, 86, 58]"
90812,"[26, 31, 39, 7, 54]"
90813,"[42, 29, 48, 4, 74]"
90814,"[11, 13, 27, 74, 96]"
90815,"[68, 106, 38, 93, 56]"
90816,"[50, 11, 51, 59, 68]"
90817,"[1, 106, 8, 104, 7]"
90818,"[75, 11, 107, 55, 84]"
90819,"[27, 93, 21, 86, 55]"
90820,"[17, 28, 21, 93, 62]"
90821,"[67, 21, 106, 30, 107]"
90822,"[62, 78, 35, 21, 8]"
90823,"[73, 28, 3, 33, 25]"
90824,"[100, 11, 22, 74, 112]"
90825,"[68, 73, 2, 8, 7]"
90826,"[39, 26, 50, 59, 28]"
90827,"[112, 22, 73, 14, 81]"
90828,"[20, 19, 42, 107, 21]"
90829,"[100, 75, 73, 36, 71]"
90830,"[86, 72, 100, 38, 88]"
90831,"[30, 62, 21, 72, 2]"
90832,"[93, 84, 110, 14, 34]"
90833,"[73, 57, 101, 39, 100]"
90834,"[3, 56, 69, 13, 7]"
90835,"[7, 12, 3, 35, 39]"
90836,"[12, 27, 71, 46, 102]"
90837,"[54, 64, 11, 105, 67]"
90838,"[7, 73, 42, 112, 25]"
90839,"[69, 8, 109, 20, 74]"
90840,"[97, 16, 41, 21, 39]"
90841,"[93, 30, 2, 46, 111]"
90842,"[19, 5, 39, 45, 18]"
90843,"[100, 85, 82, 46, 68]"
90844,"[5, 96, 1, 100, 93]"
90845,"[19, 74, 21, 84, 1]"
90846,"[8, 107, 105, 74, 88]"
90847,"[73, 69, 51, 18, 75]"
90848,"[105, 100, 107, 110, 32]"
90849,"[36, 22, 53, 81, 86]"
90850,"[106, 20, 25, 104, 57]"
90851,"[74, 93, 85, 112, 100]"
90852,"[31, 47, 111, 85, 44]"
90853,"[57, 70, 11, 69, 5]"
90854,"[45, 87, 14, 54, 28]"
90855,"[100, 51, 11, 23, 32]"
90856,"[101, 71, 41, 8, 74]"
90857,"[25, 19, 7, 60, 69]"
90858,"[7, 82, 106, 68, 11]"
90859,"[15, 99, 32, 7, 30]"
90860,"[36, 107, 106, 11, 62]"
90861,"[72, 73, 100, 112, 69]"
90862,"[68, 55, 73, 21, 36]"
90863,"[81, 21, 76, 7, 91]"
90864,"[11, 90, 16, 100, 39]"
90865,"[2, 1, 74, 25, 62]"
90866,"[21, 69, 107, 32, 15]"
90867,"[112, 72, 21, 30, 111]"
90868,"[32, 43, 72, 73, 22]"
90869,"[32, 84, 7, 9, 78]"
90870,"[69, 7, 100, 74, 28]"
90871,"[45, 44, 30, 46, 21]"
90872,"[43, 21, 112, 19, 86]"
90873,"[11, 34, 50, 110, 42]"
90874,"[57, 97, 8, 11, 2]"
90875,"[59, 35, 9, 106, 14]"
90876,"[21, 94, 104, 31, 52]"
90877,"[93, 5, 29, 11, 23]"
90878,"[5, 74, 8, 26, 7]"
90879,"[30, 19, 101, 72, 23]"
90880,"[50, 1, 96, 7, 11]"
90881,"[21, 37, 88, 1, 27]"
90882,"[86, 5, 96, 39, 14]"
90883,"[71, 2, 112, 21, 94]"
90884,"[86, 7, 72, 3, 88]"
90885,"[62, 100, 8, 40, 25]"
90886,"[59, 14, 11, 3, 93]"
90887,"[104, 42, 68, 99, 14]"
90888,"[8, 11, 69, 5, 16]"
90889,"[7, 11, 54, 18, 26]"
90890,"[67, 39, 49, 7, 104]"
90891,"[5, 19, 53, 106, 28]"
90892,"[36, 53, 71, 14, 75]"
90893,"[34, 7, 1, 60, 46]"
90894,"[6, 74, 88, 30, 70]"
90895,"[20, 25, 71, 94, 50]"
90896,"[33, 44, 25, 106, 10]"
90897,"[68, 22, 106, 18, 57]"
90898,"[17, 55, 8, 50, 28]"
90899,"[39, 112, 85, 74, 93]"
90900,"[7, 106, 33, 46, 104]"
90901,"[86, 25, 50, 4, 11]"
90902,"[85, 8, 21, 86, 39]"
90903,"[62, 74, 44, 39, 68]"
90904,"[26, 9, 93, 106, 60]"
90905,"[42, 88, 106, 30, 28]"
90906,"[104, 101, 42, 69, 31]"
90907,"[21, 14, 68, 60, 56]"
90908,"[106, 2, 86, 21, 71]"
90909,"[59, 12, 71, 57, 73]"
90910,"[38, 21, 23, 9, 84]"
90911,"[72, 43, 27, 104, 74]"
90912,"[106, 31, 97, 35, 8]"
90913,"[44, 62, 46, 28, 9]"
90914,"[75, 40, 39, 29, 8]"
90915,"[7, 60, 63, 50, 41]"
90916,"[44, 40, 28, 90, 16]"
90917,"[7, 14, 100, 30, 22]"
90918,"[67, 74, 72, 21, 15]"
90919,"[61, 7, 92, 73, 41]"
90920,"[25, 39, 93, 104, 31]"
90921,"[87, 50, 98, 8, 21]"
90922,"[59, 52, 33, 71, 62]"
90923,"[42, 14, 74, 1, 86]"
90924,"[15, 101, 84, 61, 21]"
90925,"[106, 84, 68, 17, 42]"
90926,"[106, 13, 33, 84, 32]"
90927,"[9, 11, 7, 14, 87]"
90928,"[85, 67, 86, 93, 14]"
90929,"[109, 39, 72, 58, 42]"
90930,"[85, 19, 36, 44, 87]"
90931,"[8, 11, 38, 14, 112]"
90932,"[98, 75, 13, 7, 41]"
90933,"[21, 73, 7, 89, 85]"
90934,"[7, 21, 82, 62, 1]"
90935,"[98, 30, 2, 73, 44]"
90936,"[35, 112, 1, 31, 8]"
90937,"[20, 86, 44, 1, 82]"
90938,"[30, 61, 73, 41, 75]"
90939,"[12, 99, 75, 73, 92]"
90940,"[60, 25, 18, 1, 86]"
90941,"[8, 46, 112, 33, 63]"
90942,"[2, 68, 106, 46, 21]"
90943,"[22, 98, 87, 50, 82]"
90944,"[39, 8, 85, 3, 29]"
90945,"[25, 31, 47, 95, 1]"
90946,"[38, 62, 99, 56, 11]"
90947,"[69, 101, 67, 64, 26]"
90948,"[55, 98, 112, 44, 75]"
90949,"[97, 16, 33, 73, 36]"
90950,"[30, 97, 11, 28, 67]"
90951,"[72, 21, 60, 1, 2]"
90952,"[81, 112, 100, 39, 110]"
90953,"[7, 104, 73, 9, 1]"
90954,"[21, 101, 79, 30, 41]"
90955,"[39, 2, 68, 99, 8]"
90956,"[100, 87, 11, 48, 96]"
90957,"[15, 106, 75, 99, 16]"
90958,"[13, 74, 23, 8, 100]"
90959,"[44, 85, 26, 7, 20]"
90960,"[44, 112, 5, 74, 99]"
90961,"[105, 39, 82, 50, 73]"
90962,"[11, 85, 100, 112, 35]"
90963,"[47, 57, 21, 1, 87]"
90964,"[39, 102, 82, 32, 31]"
90965,"[73, 81, 62, 8, 36]"
90966,"[46, 55, 5, 87, 49]"
90967,"[92, 21, 85, 73, 14]"
90968,"[28, 35, 40, 104, 100]"
90969,"[68, 59, 1, 40, 11]"
90970,"[86, 35, 27, 53, 1]"
90971,"[8, 53, 7, 107, 21]"
90972,"[100, 46, 67, 84, 21]"
90973,"[72, 71, 59, 2, 64]"
90974,"[26, 21, 107, 44, 112]"
90975,"[35, 42, 73, 8, 7]"
90976,"[96, 59, 84, 11, 50]"
90977,"[17, 7, 59, 95, 22]"
90978,"[49, 35, 57, 54, 93]"
90979,"[26, 11, 1, 92, 69]"
90980,"[34, 53, 50, 42, 16]"
90981,"[100, 36, 71, 25, 21]"
90982,"[31, 39, 22, 47, 69]"
90983,"[7, 21, 71, 93, 46]"
90984,"[35, 112, 11, 30, 104]"
90985,"[73, 7, 99, 8, 30]"
90986,"[74, 28, 106, 7, 105]"
90987,"[104, 25, 94, 31, 60]"
90988,"[11, 37, 44, 71, 85]"
90989,"[64, 69, 106, 73, 102]"
90990,"[106, 30, 68, 21, 41]"
90991,"[49, 112, 23, 41, 75]"
90992,"[86, 74, 8, 32, 2]"
90993,"[39, 111, 36, 110, 8]"
90994,"[8, 36, 7, 104, 74]"
90995,"[29, 59, 106, 7, 112]"
90996,"[11, 69, 62, 44, 5]"
90997,"[106, 59, 74, 62, 99]"
90998,"[36, 50, 60, 44, 11]"
90999,"[21, 42, 18, 72, 61]"
91000,"[19, 17, 73, 59, 100]"
91001,"[64, 11, 36, 43, 41]"
91002,"[69, 62, 41, 106, 54]"
91003,"[1, 7, 32, 46, 66]"
91004,"[2, 101, 74, 71, 39]"
91005,"[46, 44, 79, 2, 42]"
91006,"[39, 78, 55, 67, 25]"
91007,"[112, 104, 11, 2, 35]"
91008,"[93, 51, 100, 73, 98]"
91009,"[90, 36, 87, 93, 106]"
91010,"[100, 42, 104, 112, 74]"
91011,"[69, 93, 30, 25, 73]"
91012,"[106, 11, 22, 102, 42]"
91013,"[28, 25, 79, 63, 62]"
91014,"[18, 74, 7, 98, 69]"
91015,"[21, 51, 112, 2, 18]"
91016,"[48, 96, 112, 93, 9]"
91017,"[95, 31, 102, 14, 46]"
91018,"[2, 6, 97, 104, 68]"
91019,"[27, 8, 35, 1, 49]"
91020,"[85, 104, 50, 11, 19]"
91021,"[73, 21, 1, 112, 86]"
91022,"[98, 106, 28, 87, 83]"
91023,"[29, 58, 106, 31, 21]"
91024,"[44, 88, 110, 50, 59]"
91025,"[72, 85, 69, 11, 86]"
91026,"[28, 73, 14, 74, 7]"
91027,"[48, 86, 102, 59, 97]"
91028,"[67, 42, 93, 39, 11]"
91029,"[39, 25, 42, 112, 101]"
91030,"[8, 74, 14, 62, 69]"
91031,"[9, 107, 68, 33, 41]"
91032,"[57, 72, 89, 98, 56]"
91033,"[44, 58, 112, 6, 16]"
91034,"[72, 101, 62, 11, 51]"
91035,"[106, 71, 5, 97, 44]"
91036,"[64, 15, 50, 93, 112]"
91037,"[11, 100, 81, 1, 83]"
91038,"[21, 106, 50, 93, 112]"
91039,"[104, 21, 93, 100, 26]"
91040,"[93, 11, 62, 14, 69]"
91041,"[73, 10, 45, 111, 62]"
91042,"[3, 73, 75, 26, 8]"
91043,"[9, 8, 106, 93, 7]"
91044,"[62, 2, 47, 19, 68]"
91045,"[85, 100, 21, 62, 1]"
91046,"[91, 70, 55, 18, 25]"
91047,"[32, 100, 62, 25, 59]"
91048,"[68, 11, 104, 100, 82]"
91049,"[1, 41, 101, 104, 86]"
91050,"[30, 5, 106, 18, 21]"
91051,"[1, 30, 60, 79, 46]"
91052,"[72, 82, 51, 9, 33]"
91053,"[104, 87, 28, 25, 16]"
91054,"[70, 100, 62, 50, 11]"
91055,"[21, 8, 33, 19, 75]"
91056,"[39, 60, 106, 65, 30]"
91057,"[72, 46, 74, 88, 62]"
91058,"[69, 3, 106, 86, 46]"
91059,"[71, 10, 44, 97, 100]"
91060,"[21, 1, 19, 54, 63]"
91061,"[8, 93, 7, 14, 46]"
91062,"[93, 25, 28, 100, 104]"
91063,"[73, 50, 45, 59, 12]"
91064,"[68, 69, 36, 11, 41]"
91065,"[50, 34, 82, 85, 35]"
91066,"[53, 110, 100, 52, 32]"
91067,"[7, 54, 21, 112, 29]"
91068,"[106, 112, 70, 19, 25]"
91069,"[50, 73, 106, 86, 110]"
91070,"[20, 106, 41, 100, 50]"
91071,"[44, 31, 13, 7, 46]"
91072,"[39, 1, 91, 112, 72]"
91073,"[26, 104, 37, 93, 98]"
91074,"[26, 41, 21, 61, 101]"
91075,"[86, 51, 35, 71, 31]"
91076,"[16, 112, 11, 10, 9]"
91077,"[112, 106, 46, 96, 74]"
91078,"[93, 81, 21, 11, 51]"
91079,"[86, 74, 9, 1, 31]"
91080,"[87, 11, 107, 42, 112]"
91081,"[17, 100, 77, 84, 68]"
91082,"[86, 17, 39, 47, 7]"
91083,"[104, 21, 14, 79, 41]"
91084,"[1, 37, 32, 21, 54]"
91085,"[106, 104, 5, 13, 95]"
91086,"[17, 44, 91, 86, 34]"
91087,"[96, 17, 50, 48, 100]"
91088,"[72, 100, 74, 83, 102]"
91089,"[30, 20, 57, 4, 76]"
91090,"[57, 8, 1, 73, 98]"
91091,"[106, 72, 83, 30, 39]"
91092,"[14, 25, 39, 69, 106]"
91093,"[25, 71, 69, 39, 1]"
91094,"[60, 14, 51, 35, 88]"
91095,"[27, 89, 97, 5, 72]"
91096,"[50, 78, 47, 35, 68]"
91097,"[72, 6, 10, 57, 74]"
91098,"[39, 69, 72, 3, 51]"
91099,"[11, 86, 8, 25, 69]"
91100,"[74, 41, 64, 61, 53]"
91101,"[21, 42, 26, 32, 107]"
91102,"[74, 28, 72, 5, 11]"
91103,"[69, 75, 21, 72, 101]"
91104,"[14, 16, 84, 72, 2]"
91105,"[72, 60, 47, 5, 98]"
91106,"[69, 55, 50, 49, 3]"
91107,"[100, 68, 73, 107, 69]"
91108,"[36, 112, 21, 93, 8]"
91109,"[7, 72, 9, 94, 104]"
91110,"[80, 98, 7, 28, 21]"
91111,"[11, 86, 8, 5, 104]"
91112,"[44, 49, 69, 64, 1]"
91113,"[20, 13, 32, 7, 75]"
91114,"[36, 7, 73, 74, 5]"
91115,"[21, 9, 12, 98, 112]"
91116,"[54, 100, 106, 62, 12]"
91117,"[27, 30, 23, 71, 28]"
91118,"[20, 106, 23, 38, 112]"
91119,"[51, 5, 80, 18, 40]"
91120,"[28, 112, 1, 21, 50]"
91121,"[74, 1, 84, 101, 60]"
91122,"[8, 11, 100, 5, 62]"
91123,"[50, 59, 45, 94, 11]"
91124,"[18, 11, 36, 22, 42]"
91125,"[10, 69, 21, 50, 2]"
91126,"[2, 68, 62, 13, 54]"
91127,"[1, 31, 88, 100, 92]"
91128,"[5, 53, 49, 73, 28]"
91129,"[93, 68, 53, 104, 51]"
91130,"[87, 8, 50, 39, 99]"
91131,"[70, 56, 25, 100, 54]"
91132,"[61, 47, 79, 67, 8]"
91133,"[100, 22, 28, 50, 8]"
91134,"[4, 32, 74, 26, 106]"
91135,"[62, 36, 68, 12, 21]"
91136,"[89, 44, 30, 72, 11]"
91137,"[63, 13, 11, 25, 64]"
91138,"[51, 25, 26, 8, 105]"
91139,"[100, 74, 84, 21, 72]"
91140,"[69, 47, 32, 48, 45]"
91141,"[59, 93, 39, 7, 86]"
91142,"[37, 93, 80, 16, 52]"
91143,"[19, 99, 93, 9, 29]"
91144,"[21, 8, 104, 7, 55]"
91145,"[73, 53, 20, 39, 104]"
91146,"[70, 71, 61, 62, 44]"
91147,"[107, 46, 57, 73, 1]"
91148,"[100, 74, 87, 18, 86]"
91149,"[21, 26, 62, 12, 68]"
91150,"[72, 103, 62, 55, 74]"
91151,"[63, 87, 14, 80, 75]"
91152,"[59, 50, 39, 11, 7]"
91153,"[60, 5, 93, 31, 71]"
91154,"[93, 21, 87, 73, 112]"
91155,"[57, 75, 73, 9, 67]"
91156,"[25, 35, 4, 42, 30]"
91157,"[50, 1, 16, 28, 21]"
91158,"[62, 15, 60, 50, 17]"
91159,"[101, 7, 39, 14, 1]"
91160,"[50, 1, 103, 74, 28]"
91161,"[63, 67, 40, 36, 32]"
91162,"[87, 40, 9, 72, 36]"
91163,"[86, 72, 106, 30, 98]"
91164,"[9, 62, 93, 50, 39]"
91165,"[59, 42, 35, 32, 99]"
91166,"[1, 39, 68, 99, 100]"
91167,"[75, 105, 28, 44, 73]"
91168,"[54, 5, 1, 62, 11]"
91169,"[98, 39, 2, 68, 72]"
91170,"[62, 39, 11, 19, 35]"
91171,"[19, 28, 30, 34, 9]"
91172,"[14, 71, 11, 27, 67]"
