,timeDerrotado
425,"[74, 35, 33, 8, 55]"
426,"[14, 64, 28, 95, 2]"
427,"[2, 7, 1, 47, 62]"
428,"[86, 74, 8, 38, 33]"
429,"[62, 16, 39, 8, 74]"
430,"[14, 40, 54, 74, 104]"
431,"[51, 12, 21, 46, 53]"
432,"[30, 73, 93, 23, 16]"
433,"[73, 44, 107, 34, 20]"
434,"[25, 64, 63, 73, 39]"
435,"[86, 106, 39, 88, 16]"
436,"[25, 11, 5, 19, 69]"
437,"[93, 32, 5, 71, 1]"
438,"[11, 73, 79, 9, 31]"
439,"[9, 100, 64, 8, 26]"
440,"[73, 57, 56, 11, 26]"
441,"[11, 50, 8, 28, 9]"
442,"[44, 46, 2, 6, 38]"
443,"[25, 20, 104, 8, 83]"
444,"[5, 54, 7, 1, 72]"
445,"[30, 80, 67, 64, 41]"
446,"[11, 28, 75, 21, 19]"
447,"[63, 96, 98, 26, 106]"
448,"[28, 55, 11, 7, 64]"
449,"[21, 3, 72, 33, 106]"
450,"[26, 91, 12, 73, 104]"
451,"[64, 44, 57, 29, 11]"
452,"[8, 25, 74, 31, 42]"
453,"[69, 11, 64, 102, 21]"
454,"[42, 94, 90, 39, 97]"
455,"[7, 87, 30, 73, 11]"
456,"[2, 72, 11, 75, 104]"
457,"[63, 22, 46, 93, 40]"
458,"[73, 18, 5, 9, 44]"
459,"[82, 15, 44, 11, 104]"
460,"[55, 79, 93, 4, 80]"
461,"[8, 46, 5, 100, 53]"
462,"[112, 28, 73, 31, 78]"
463,"[97, 49, 22, 18, 14]"
464,"[102, 68, 50, 76, 104]"
465,"[21, 59, 44, 37, 2]"
466,"[30, 39, 62, 44, 14]"
467,"[50, 104, 76, 46, 79]"
468,"[21, 74, 55, 112, 93]"
469,"[88, 8, 14, 67, 71]"
470,"[11, 69, 25, 42, 7]"
471,"[35, 73, 7, 57, 59]"
472,"[8, 1, 55, 100, 23]"
473,"[19, 9, 38, 25, 94]"
474,"[7, 47, 14, 5, 19]"
475,"[101, 16, 18, 59, 74]"
476,"[17, 67, 99, 62, 104]"
477,"[98, 21, 8, 52, 16]"
478,"[26, 42, 14, 39, 101]"
479,"[1, 51, 87, 58, 106]"
480,"[35, 110, 39, 8, 61]"
481,"[11, 30, 72, 68, 2]"
482,"[112, 69, 107, 11, 70]"
483,"[7, 62, 59, 75, 100]"
484,"[21, 112, 39, 100, 59]"
485,"[11, 75, 73, 2, 9]"
486,"[1, 42, 2, 30, 39]"
487,"[17, 18, 9, 5, 44]"
488,"[62, 28, 55, 40, 101]"
489,"[106, 14, 32, 42, 68]"
490,"[98, 57, 83, 68, 106]"
491,"[71, 41, 21, 93, 3]"
492,"[75, 61, 68, 1, 69]"
493,"[11, 2, 88, 75, 18]"
494,"[21, 104, 62, 8, 30]"
495,"[2, 21, 50, 73, 109]"
496,"[62, 11, 99, 70, 9]"
497,"[31, 21, 4, 47, 62]"
498,"[106, 1, 50, 33, 21]"
499,"[64, 40, 42, 75, 1]"
500,"[86, 71, 22, 42, 72]"
501,"[19, 1, 21, 39, 86]"
502,"[106, 97, 26, 7, 35]"
503,"[11, 83, 44, 13, 33]"
504,"[103, 50, 46, 40, 95]"
505,"[44, 45, 47, 74, 14]"
506,"[70, 32, 100, 11, 48]"
507,"[11, 106, 56, 7, 4]"
508,"[67, 29, 112, 97, 62]"
509,"[98, 90, 62, 73, 106]"
510,"[87, 21, 75, 44, 39]"
511,"[71, 74, 100, 46, 68]"
512,"[1, 11, 97, 102, 7]"
513,"[7, 12, 111, 107, 57]"
514,"[93, 74, 68, 60, 2]"
515,"[82, 7, 44, 31, 16]"
516,"[1, 84, 28, 7, 59]"
517,"[15, 97, 8, 26, 71]"
518,"[39, 69, 14, 22, 28]"
519,"[17, 87, 69, 13, 4]"
520,"[10, 69, 82, 30, 21]"
521,"[8, 18, 27, 70, 39]"
522,"[51, 46, 9, 8, 71]"
523,"[104, 80, 39, 69, 98]"
524,"[112, 27, 98, 81, 74]"
525,"[40, 68, 85, 73, 11]"
526,"[21, 86, 98, 106, 40]"
527,"[100, 26, 110, 44, 74]"
528,"[105, 1, 90, 39, 21]"
529,"[66, 7, 29, 104, 46]"
530,"[92, 55, 95, 14, 42]"
531,"[68, 55, 85, 109, 76]"
532,"[90, 46, 14, 21, 110]"
533,"[1, 47, 90, 73, 7]"
534,"[100, 28, 11, 18, 8]"
535,"[90, 67, 2, 11, 98]"
536,"[17, 73, 87, 2, 30]"
537,"[64, 74, 41, 57, 46]"
538,"[11, 99, 104, 5, 7]"
539,"[39, 112, 71, 107, 1]"
540,"[68, 6, 62, 93, 11]"
