"file:/C:/Users/flavi/Google%20Drive/Doutorado/Ciencia%20de%20Redes/dotaComplementar.mat_2","interaction","name","selected","shared interaction","shared name"
"1.0","interacts with","Node 70 (interacts with) Node 71","false","interacts with","Node 70 (interacts with) Node 71"
"1.0","interacts with","Node 70 (interacts with) Node 107","false","interacts with","Node 70 (interacts with) Node 107"
"1.0","interacts with","Node 71 (interacts with) Node 72","false","interacts with","Node 71 (interacts with) Node 72"
"1.0","interacts with","Node 71 (interacts with) Node 107","false","interacts with","Node 71 (interacts with) Node 107"
"1.0","interacts with","Node 72 (interacts with) Node 73","false","interacts with","Node 72 (interacts with) Node 73"
"1.0","interacts with","Node 72 (interacts with) Node 107","false","interacts with","Node 72 (interacts with) Node 107"
"1.0","interacts with","Node 73 (interacts with) Node 112","false","interacts with","Node 73 (interacts with) Node 112"
"1.0","interacts with","Node 73 (interacts with) Node 74","false","interacts with","Node 73 (interacts with) Node 74"
"1.0","interacts with","Node 73 (interacts with) Node 107","false","interacts with","Node 73 (interacts with) Node 107"
"1.0","interacts with","Node 74 (interacts with) Node 112","false","interacts with","Node 74 (interacts with) Node 112"
"1.0","interacts with","Node 74 (interacts with) Node 75","false","interacts with","Node 74 (interacts with) Node 75"
"1.0","interacts with","Node 74 (interacts with) Node 107","false","interacts with","Node 74 (interacts with) Node 107"
"1.0","interacts with","Node 75 (interacts with) Node 107","false","interacts with","Node 75 (interacts with) Node 107"
"1.0","interacts with","Node 75 (interacts with) Node 76","false","interacts with","Node 75 (interacts with) Node 76"
"1.0","interacts with","Node 76 (interacts with) Node 112","false","interacts with","Node 76 (interacts with) Node 112"
"1.0","interacts with","Node 76 (interacts with) Node 107","false","interacts with","Node 76 (interacts with) Node 107"
"1.0","interacts with","Node 76 (interacts with) Node 77","false","interacts with","Node 76 (interacts with) Node 77"
"1.0","interacts with","Node 77 (interacts with) Node 112","false","interacts with","Node 77 (interacts with) Node 112"
"1.0","interacts with","Node 77 (interacts with) Node 107","false","interacts with","Node 77 (interacts with) Node 107"
"1.0","interacts with","Node 77 (interacts with) Node 78","false","interacts with","Node 77 (interacts with) Node 78"
"1.0","interacts with","Node 78 (interacts with) Node 112","false","interacts with","Node 78 (interacts with) Node 112"
"1.0","interacts with","Node 78 (interacts with) Node 107","false","interacts with","Node 78 (interacts with) Node 107"
"1.0","interacts with","Node 78 (interacts with) Node 79","false","interacts with","Node 78 (interacts with) Node 79"
"1.0","interacts with","Node 79 (interacts with) Node 80","false","interacts with","Node 79 (interacts with) Node 80"
"1.0","interacts with","Node 79 (interacts with) Node 112","false","interacts with","Node 79 (interacts with) Node 112"
"1.0","interacts with","Node 79 (interacts with) Node 107","false","interacts with","Node 79 (interacts with) Node 107"
"1.0","interacts with","Node 80 (interacts with) Node 81","false","interacts with","Node 80 (interacts with) Node 81"
"1.0","interacts with","Node 80 (interacts with) Node 107","false","interacts with","Node 80 (interacts with) Node 107"
"1.0","interacts with","Node 81 (interacts with) Node 112","false","interacts with","Node 81 (interacts with) Node 112"
"1.0","interacts with","Node 81 (interacts with) Node 82","false","interacts with","Node 81 (interacts with) Node 82"
"1.0","interacts with","Node 81 (interacts with) Node 107","false","interacts with","Node 81 (interacts with) Node 107"
"1.0","interacts with","Node 82 (interacts with) Node 112","false","interacts with","Node 82 (interacts with) Node 112"
"1.0","interacts with","Node 82 (interacts with) Node 83","false","interacts with","Node 82 (interacts with) Node 83"
"1.0","interacts with","Node 82 (interacts with) Node 107","false","interacts with","Node 82 (interacts with) Node 107"
"1.0","interacts with","Node 83 (interacts with) Node 84","false","interacts with","Node 83 (interacts with) Node 84"
"1.0","interacts with","Node 83 (interacts with) Node 107","false","interacts with","Node 83 (interacts with) Node 107"
"1.0","interacts with","Node 84 (interacts with) Node 112","false","interacts with","Node 84 (interacts with) Node 112"
"1.0","interacts with","Node 84 (interacts with) Node 85","false","interacts with","Node 84 (interacts with) Node 85"
"1.0","interacts with","Node 84 (interacts with) Node 107","false","interacts with","Node 84 (interacts with) Node 107"
"1.0","interacts with","Node 85 (interacts with) Node 86","false","interacts with","Node 85 (interacts with) Node 86"
"1.0","interacts with","Node 85 (interacts with) Node 107","false","interacts with","Node 85 (interacts with) Node 107"
"1.0","interacts with","Node 86 (interacts with) Node 112","false","interacts with","Node 86 (interacts with) Node 112"
